nombreInst,numTel,dirCompleta,sitioWeb,mail,enlaceContacto,nombreServicio,objetivoServicio,poblacionMeta,reglasOperServicio,procesoSolicApoyo,etiquetas
"URIS Heriberto Enr’quez Rodr’guez ""El Olimpo""",722 705 1398,"Av. CuauhtŽmoc S/N, Delegaci—n Santa Mar’a Totoltepec, 50200 Santa Mar’a Totoltepec, MŽx.",https://diftoluca.gob.mx/,diridiscapacidad2527@hotmail.com,https://diftoluca.gob.mx/Paginas/Servicios/Discapacidad/index.php,Unidad de Rehabilitaci—n e Integraci—n Social (URIS). Rehabilitaci—n e Integraci—n Social,"Proporcionar atenci—n integral de rehabilitaci—n para promover la autonom’a, funcionalidad e inclusi—n social de las personas con discapacidad","Ni–as, ni–os, j—venes, adultos y adultos mayores con discapacidad o en riesgo de presentarla, as’ como sus familias.",Presentar documentaci—n de identificaci—n. Acudir a valoraci—n inicial. Cumplir con las citas programadas. Seguir las indicaciones del personal mŽdico y terapŽutico.,La persona interesada debe acudir a la unidad o comunicarse por telŽfono para recibir orientaci—n. DespuŽs de la valoraci—n inicial se dise–a un plan de rehabilitaci—n acorde con sus necesidades,"Terapia, Apoyo familiar, Rehabilitaci—n, Instituci—n pœblica, EdomŽx"
Secretar’a de Educaci—n del Estado de MŽxico,722 1678400_ /_722 1678401 Direcci—n de Educaci—n Especial: (722) 215 01 25 y (722) 167 27 57,"Lerdo Poniente No. 300, Centro, Toluca. Segundo Piso, Puerta 327- Palacio de Gobierno",https://edomex.gob.mx/secretaria-educacion,,Chan en https://secti.edomex.gob.mx/becas,Becas para Discapacidad,"Contribuir a la permanencia, continuidad y conclusi—n de los estudios de alumnas y alumnos con discapacidad mediante el otorgamiento de apoyos econ—micos que favorezcan la igualdad de oportunidades educativas y la inclusi—n.",Estudiantes con discapacidad que se encuentren inscritos en instituciones educativas pœblicas del Estado de MŽxico,Estar inscrito en una instituci—n educativa pœblica del Estado de MŽxico. Acreditar la condici—n de discapacidad mediante la documentaci—n correspondiente. Cumplir con los requisitos establecidos en la convocatoria vigente. Presentar la documentaci—n solicitada dentro de los plazos establecidos.,"La persona interesada o su tutor deber‡n solicitar la convocatoria publicada por la Secretar’a de Educaci—n del Estado de MŽxico para estudiantes con discapacidad. Posteriormente, se deber‡ realizar el registro correspondiente, reunir la documentaci—n requerida y entregarla en los medios indicados.","Apoyo familiar, Instituci—n pœblica, EdomŽx"
CRIVER Ð Centro de Rehabilitaci—n Infantil de Veracruz,"229 955 2168, 01 800 72 72556","Carretera Estatal Veracruz - El Tejar No.1900
Col. Exhacienda Boticaria
Boca del Rio, Ver.
C.P. 94290",https://www.criver.org.mx/,informes@criver.org.mx,informes@criver.org.mx,Servicio de rehabilitaci—n f’sica e integral,"Brindar atenci—n especializada de rehabilitaci—n a personas con discapacidad motriz o limitaciones f’sicas, con la finalidad de favorecer su movilidad, funcionalidad, independencia y calidad de vida.","Ni–as, ni–os, adolescentes y personas con discapacidad motriz o con necesidades de rehabilitaci—n f’sica derivadas de alguna lesi—n, enfermedad o condici—n que limite su movilidad.","Para ingresar al servicio se requiere solicitar una cita de primera vez por telŽfono o directamente en el ‡rea de informaci—n. El paciente debe presentar documentaci—n b‡sica como acta de nacimiento, diagn—stico mŽdico reciente, hoja de egreso hospitalario, fotograf’as, cartilla de vacunaci—n y, en caso de menores de edad, documentos del tutor. Trabajo social realiza una valoraci—n para determinar el nivel socioecon—mico.","La persona interesada debe llamar o acudir al CRIVER para pedir una cita de primera vez. El d’a asignado se presenta con la documentaci—n solicitada, realiza el pago correspondiente y abre su expediente. DespuŽs pasa con el mŽdico rehabilitador, trabajo social y valoraci—n mŽdica general. Al finalizar las terapias indicadas, acude a revaloraci—n para seguimiento o programaci—n de nuevas sesiones.","Instituci—n privada, Terapia, Apoyo familiar, Rehabilitaci—n, Veracruz, discapacidad motriz, lesi—n medular."
DIF Municipal Veracruz,Tel. 228 842 3730 y 228 842 3737 lada sin costo 800 134 3838,"Km 1.5 Carretera Xalapa - Coatepec,
Col. Benito Ju‡rez, C.P. 91070, Xalapa, Veracruz, MŽxico.",https://www.difver.gob.mx/,,https://www.difver.gob.mx/dif/directorio-municipal/,"Orientaci—n, canalizaci—n y apoyo social para personas con discapacidad.","Brindar orientaci—n y apoyo a personas en situaci—n vulnerable, incluyendo personas con discapacidad motriz y sus familias, mediante servicios sociales, canalizaci—n institucional y posibles apoyos comunitarios.","Personas con discapacidad, familias, cuidadores y poblaci—n vulnerable del municipio de Veracruz.","Los requisitos dependen del programa solicitado. Generalmente se puede requerir identificaci—n oficial, comprobante de domicilio, CURP y documentaci—n mŽdica o constancia de discapacidad, cuando aplique.","La persona interesada o su familia puede acudir o comunicarse al DIF Municipal para explicar la necesidad del caso. Posteriormente, se brinda orientaci—n y, si procede, se realiza la canalizaci—n a programas, apoyos o instituciones correspondientes.","Instituci—n pœblica, Apoyo familiar, Rehabilitaci—n, Veracruz, orientaci—n social, discapacidad motriz."
Instituto Nacional de Rehabilitaci—n Luis Guillermo Ibarra Ibarra,55 5999 1000,"Calzada MŽxico-Xochimilco No. 289, Col. Arenal de Guadalupe, Alcald’a Tlalpan, C.P. 14389, Ciudad de MŽxico.",https://www.inr.gob.mx/,webmaster@inr.gob.mx,https://www.inr.gob.mx/contacto/,Atenci—n mŽdica especializada y rehabilitaci—n integral.,"Proporcionar atenci—n especializada en rehabilitaci—n f’sica, medicina de rehabilitaci—n, ortopedia, neurorehabilitaci—n y apoyo funcional para personas con discapacidad o lesiones que afectan la movilidad.","Personas con discapacidad f’sica, lesi—n medular, alteraciones ortopŽdicas, neurol—gicas o necesidades de rehabilitaci—n especializada.","Para recibir atenci—n se requiere solicitar informaci—n sobre consulta de primera vez y cumplir con los requisitos indicados por la instituci—n. Pueden solicitar documentos personales, estudios mŽdicos previos, referencia mŽdica y apertura de expediente cl’nico.","La persona interesada debe comunicarse al Instituto o revisar su p‡gina oficial para conocer el procedimiento de ingreso. Posteriormente, deber‡ presentar la documentaci—n solicitada y acudir a valoraci—n mŽdica para determinar el tipo de atenci—n o rehabilitaci—n requerida.","Instituci—n pœblica, Terapia, Rehabilitaci—n, CDMX, lesi—n medular, neurorehabilitaci—n, discapacidad motriz."
Pro-Active Cl’nica Medicina F’sica y Rehabilitaci—n.,229 192 2726,"Av. La Fragua #481 interior 3, esquina Alacio PŽrez, Centro, Veracruz, Ver.",https://www.fresha.com/es/lvp/pro-active-clinica-medicina-fisica-y-rehabilitacion-alacio-perez-veracruz-vv1g8G,,,Medicina f’sica y rehabilitaci—n.,"Ofrecer valoraci—n y tratamiento de rehabilitaci—n f’sica para mejorar movilidad, fuerza, equilibrio, marcha y funcionalidad en personas con lesiones o limitaciones motrices.","Personas con lesiones musculoesquelŽticas, discapacidad motriz adquirida, secuelas de accidentes o necesidad de terapia f’sica.","Se recomienda confirmar si requiere cita previa, valoraci—n inicial, estudios mŽdicos y costos de atenci—n.","La persona interesada debe comunicarse por telŽfono para agendar cita, explicar brevemente el caso y preguntar por horarios, costos y requisitos para la valoraci—n inicial.","Instituci—n privada, Terapia, Rehabilitaci—n, Veracruz, discapacidad motriz adquirida, lesi—n medular."
ƒntrale Ð Alianza por la Inclusi—n Laboral de Personas con Discapacidad.,,"Direcci—n: Anillo PerifŽrico 3720, Jardines del Pedregal, çlvaro Obreg—n, Ciudad de MŽxico.",https://entrale.org.mx/,,https://entrale.org.mx/pages/directorio,Inclusi—n laboral para personas con discapacidad.,"Promover la inclusi—n laboral de personas con discapacidad mediante vinculaci—n con empresas, sensibilizaci—n y generaci—n de oportunidades de empleo.","Personas con discapacidad en edad laboral o pr—ximas a incorporarse al mundo laboral, as’ como empresas e instituciones interesadas en promover la inclusi—n.","La participaci—n depende de los programas, vacantes o mecanismos de vinculaci—n vigentes. Se recomienda revisar la plataforma y contactar a la instituci—n para conocer requisitos actuales.","La persona interesada debe ingresar al sitio web, revisar las opciones de registro, bœsqueda de empleo o contacto, y seguir las indicaciones de la plataforma para acceder a oportunidades de inclusi—n laboral.","Instituci—n privada, Apoyo familiar, CDMX, inclusi—n laboral, discapacidad motriz, proyecto de vida."
Cl’nica Dolome Rehabilitaci—n F’sica.,229 903 8206,"Bernal D’az del Castillo 394, Col. Reforma, Veracruz, Ver.",https://www.dolome.com.mx/,,,"Rehabilitaci—n f’sica, fisioterapia y manejo del dolor.","Brindar atenci—n en rehabilitaci—n f’sica para favorecer la recuperaci—n funcional, disminuir dolor, mejorar movilidad, fuerza y calidad de vida en personas con lesiones f’sicas o limitaciones motrices.","Personas con lesiones musculoesquelŽticas, discapacidad motriz adquirida, secuelas de accidentes, dolor cr—nico o necesidad de rehabilitaci—n f’sica.","Se recomienda confirmar costos, horarios, requisitos de valoraci—n y si es necesario presentar estudios mŽdicos o diagn—stico previo.",La persona interesada debe comunicarse por telŽfono o consultar su presencia digital para solicitar informes y agendar una valoraci—n. En la primera cita se revisa el caso y se determina el plan de rehabilitaci—n o tratamiento m‡s adecuado.,"Instituci—n privada, Terapia, Rehabilitaci—n, Veracruz, fisioterapia, discapacidad motriz adquirida."
moveON Fisioterapia y Rehabilitaci—n.,220 289 5368,"Invernadero 288, entre Venus y Mercurio, Jardines del Virginia, Veracruz, Ver.",https://clinicamoveon.site.agendapro.com/mx/sucursal/343728,,,"Fisioterapia, rehabilitaci—n f’sica y terapia psicomotriz.","Brindar atenci—n terapŽutica y de rehabilitaci—n para mejorar movilidad, fuerza, equilibrio, coordinaci—n y funcionalidad en personas con alteraciones motrices, lesiones f’sicas o dificultades de movimiento.","Ni–as, ni–os, adolescentes y adultos con problemas de movilidad, discapacidad motriz, secuelas de lesiones, alteraciones psicomotrices o necesidades de rehabilitaci—n f’sica.","Se recomienda solicitar cita previa y confirmar costos, horarios, modalidad de atenci—n y requisitos para la valoraci—n inicial. La instituci—n aparece con entrada, ba–o y estacionamiento accesibles para silla de ruedas.","La persona interesada o su familia debe comunicarse por telŽfono para explicar brevemente la situaci—n y agendar una valoraci—n inicial. A partir de esa revisi—n, se determina el tipo de terapia o plan de rehabilitaci—n m‡s adecuado.","Instituci—n privada, Terapia, Apoyo familiar, Rehabilitaci—n, Veracruz, terapia psicomotriz, movilidad, discapacidad motriz adquirida, accesibilidad f’sica."
Psinapsis Cl’nica de Integraci—n Sensorial y Neurodesarrollo.,229 269 2069,"Av. Costa de Oro 648-1, Fracc. Costa de Oro, Boca del R’o, Veracruz.",https://veracruzinclusivo.org/?tdcpt_doctors=no-title-11,psinapsis.contacto@gmail.com,,"ntervenci—n en integraci—n sensorial, neurodesarrollo, comunicaci—n, lenguaje, habla y conducta.","Brindar intervenci—n integral a ni–as y ni–os con trastornos del neurodesarrollo, dificultades de procesamiento sensorial, comunicaci—n, aprendizaje, conducta y desarrollo psicomotor, favoreciendo su desarrollo, participaci—n y bienestar familiar. La instituci—n se describe como un centro de intervenci—n global a los trastornos del neurodesarrollo.","Principalmente ni–as y ni–os con trastornos del neurodesarrollo, trastorno por dŽficit de atenci—n, trastorno del espectro autista, trastornos del aprendizaje, trastornos de la comunicaci—n, procesamiento sensorial y dificultades en el desarrollo psicomotor.","Se recomienda comunicarse directamente con la instituci—n para confirmar requisitos de ingreso, costos, disponibilidad, valoraci—n inicial y modalidad de atenci—n. El horario publicado es de lunes a viernes de 10:00 a 14:00 y de 16:00 a 19:00 horas; s‡bado de 10:00 a 14:00 horas.","La familia interesada puede comunicarse por telŽfono, correo electr—nico, Facebook, Instagram o mediante la p‡gina de Veracruz Inclusivo para solicitar informaci—n. Posteriormente, se recomienda agendar una valoraci—n inicial para identificar las necesidades del ni–o o ni–a y determinar el tipo de intervenci—n o terapia m‡s adecuada.","Instituci—n privada,Terapia, Apoyo familiar, Veracruz, Boca del R’o, neurodesarrollo, integraci—n sensorial, lenguaje, conducta, desarrollo psicomotor."
